,medmcqa_opt4,medmcqa_opt4_rerank,medqa_opt4,medqa_opt4_rerank,medqa_opt4_rerank_usemedwiki,medqa_opt4_usemedwiki,medqa_opt5,medqa_opt5_rerank,medqa_opt5_rerank_usemedwiki,medqa_opt5_usemedwiki,mmlu_opt4,mmlu_opt4_rerank
llama,0.3578771216830026,0.3724599569686828,0.37941869599371564,0.3715632364493323,0.3629222309505106,0.3723487824037706,0.3126472898664572,0.3244304791830322,0.3220738413197172,0.3283582089552239,0.5171489817792069,0.5128617363344051
mistral,,,,,,,,,,,,
zephyr,0.46999760937126467,0.4704757351183361,0.5137470542026709,0.5082482325216026,0.5051060487038491,0.5035349567949725,0.4422623723487824,0.45011783189316573,0.4469756480754124,0.4399057344854674,0.6677384780278671,0.6580921757770632
